N0	7056.9

interval	boundary	lambda
0	0.000000	45334.957796
1	0.000617	1327824.792396
2	0.002492	43043.420783
3	0.005695	12.926883
4	0.010347	2.192067
5	0.016631	1.154016
6	0.024799	0.715738
7	0.035193	0.386319
8	0.048266	0.237252
9	0.064617	0.209448
10	0.085034	0.239274
11	0.110560	0.321682
12	0.142574	0.523201
13	0.182916	0.961628
14	0.234053	1.594033
15	0.299318	2.123290
16	0.383245	2.394518
17	0.492053	2.282797
18	0.634343	1.830565
19	0.822109	1.402887
20	1.072225	1.077826
21	1.408636	1.077826
22	1.865636	1.076688
23	2.492787	1.076688
24	3.362387	1.950985
25	4.580901	1.950985
26	6.306610	2.302638
27	8.777123	2.302638
28	12.352634	4.012189
29	17.584601	4.012189
