N0	6325.3

interval	boundary	lambda
0	0.000000	32469.227215
1	0.000624	650245.581404
2	0.002520	4597.453059
3	0.005761	261.636656
4	0.010469	14.840305
5	0.016833	1.935155
6	0.025111	0.579555
7	0.035653	0.257835
8	0.048925	0.182695
9	0.065544	0.190187
10	0.086321	0.234702
11	0.112333	0.318420
12	0.145007	0.501923
13	0.186249	0.913359
14	0.238622	1.587656
15	0.305594	2.198394
16	0.391895	2.590703
17	0.504031	2.631880
18	0.651020	2.191364
19	0.845472	1.677420
20	1.105178	1.240554
21	1.455461	1.240554
22	1.932694	1.173557
23	2.589616	1.173557
24	3.503411	2.024065
25	4.788128	2.024065
26	6.613927	2.612103
27	9.237184	2.612103
28	13.048024	4.234064
29	18.646072	4.234064
