N0	10999.7

interval	boundary	lambda
0	0.000000	46878.851776
1	0.000586	207594.576295
2	0.002366	1031.634635
3	0.005402	4.222957
4	0.009805	0.793740
5	0.015737	0.536779
6	0.023424	0.611319
7	0.033169	0.660516
8	0.045374	0.574083
9	0.060564	0.503529
10	0.079426	0.550271
11	0.102863	0.762939
12	0.132058	1.102722
13	0.168577	1.393103
14	0.214498	1.539392
15	0.272602	1.563385
16	0.346632	1.388300
17	0.441667	1.075228
18	0.564649	0.829600
19	0.725145	0.700640
20	0.936445	0.650619
21	1.217163	0.650619
22	1.593600	0.843945
23	2.103230	0.843945
24	2.799923	1.529208
25	3.761810	1.529208
26	5.103230	1.402459
27	6.993048	1.402459
28	9.682965	3.991568
29	13.551671	3.991568
