chr	stt	end
1	1	880000
1	1540001	1660000
1	2535001	2715000
1	3780001	4020000
1	12810001	13890000
1	16755001	17295000
1	24235001	24415000
1	29830001	30070000
1	103720001	104375000
1	108720001	109080000
1	118890001	149915000
1	161485001	161665000
1	205870001	206230000
1	206270001	206630000
1	223690001	223810000
1	224030001	224270000
1	235140001	235260000
1	243135001	243315000
1	248585001	248765000
1	248880001	249120000
2	3490001	3610000
2	4985001	5165000
2	16240001	16360000
2	86980001	88420000
2	89060001	95915000
2	96035001	96215000
2	96240001	96360000
2	96530001	96770000
2	97755001	98295000
2	106985001	107165000
2	108385001	108565000
2	110080001	110320000
2	110405001	111445000
2	111960001	112615000
2	113090001	113210000
2	114120001	114480000
2	130735001	130915000
2	131115001	131535000
2	131935001	132115000
2	132740001	132860000
2	132880001	133120000
2	149635001	149815000
2	233990001	234110000
2	242980001	243199373
3	1	110000
3	66135001	66315000
3	75575001	75875000
3	90140001	93860000
3	162485001	162665000
3	195340001	195460000
3	197830001	198022430
4	1	110000
4	1390001	1510000
4	9070001	9430000
4	48685001	53065000
4	59690001	59810000
4	75390001	75510000
4	119490001	119610000
4	132590001	132710000
4	190480001	190720000
4	190815001	191154276
5	17485001	17665000
5	21440001	21560000
5	34085001	34265000
5	46035001	49815000
5	68610001	70890000
5	91590001	91710000
5	138740001	138860000
5	155090001	155210000
5	175330001	175570000
5	177070001	177430000
5	180675001	180915260
6	1	275000
6	26620001	26980000
6	31885001	32065000
6	32440001	32560000
6	57270001	57630000
6	58025001	58325000
6	58435001	62215000
6	95630001	95870000
6	157535001	157715000
6	167885001	168065000
6	170240001	170360000
6	170875001	171115067
7	1	110000
7	190001	310000
7	5885001	6065000
7	6735001	6915000
7	43990001	44110000
7	56815001	57235000
7	57485001	62465000
7	62640001	63360000
7	64480001	64720000
7	64925001	65225000
7	72310001	72790000
7	73995001	75255000
7	76025001	76325000
7	76530001	76770000
7	100540001	100660000
7	102070001	102430000
7	130135001	130315000
7	141990001	142110000
7	142240001	142360000
7	143160001	143640000
7	143825001	144125000
7	154235001	154415000
8	1	220000
8	6890001	8210000
8	11785001	12565000
8	43435001	47215000
8	86520001	86880000
8	142685001	142865000
8	145220001	145580000
8	146235001	146364022
9	1	220000
9	35525001	74225000
9	92285001	92465000
9	92480001	92720000
9	97035001	97215000
9	99640001	99760000
9	133030001	133270000
9	136990001	137110000
9	139140001	139260000
9	141030001	141213431
10	1	165000
10	17700001	18300000
10	38270001	42830000
10	46010001	48415000
10	48575001	49475000
10	51005001	52100000
10	81375001	81675000
10	88860001	89340000
10	125840001	125960000
10	128580001	128820000
10	133340001	133460000
10	133640001	133760000
10	135385001	135534747
11	1	220000
11	1140001	1260000
11	3235001	3415000
11	4235001	4415000
11	48840001	48960000
11	50705001	55125000
11	69040001	69160000
11	69690001	69810000
11	87640001	87760000
11	89410001	89890000
11	96230001	96470000
11	134885001	135006516
12	1	220000
12	7140001	7260000
12	8490001	8610000
12	9540001	9660000
12	34490001	38210000
12	109340001	109460000
12	122490001	122610000
12	132685001	132865000
12	133425001	133725000
13	1	21175000
13	52790001	52910000
13	53040001	53160000
13	86730001	86970000
13	112330001	112570000
13	114285001	114465000
13	114585001	114765000
13	115090001	115169878
14	1	22220000
14	106085001	106265000
14	106270001	106630000
14	107240001	107349540
15	1	24585000
15	28500001	29100000
15	29140001	29260000
15	30290001	31010000
15	32345001	33005000
15	43830001	44070000
15	82480001	83320000
15	84770001	85130000
15	85685001	85865000
15	102385001	102531392
16	1	110000
16	2585001	2765000
16	8590001	8710000
16	14715001	15535000
16	16245001	16905000
16	18085001	18865000
16	21330001	21570000
16	21675001	21975000
16	22370001	22730000
16	28280001	28520000
16	28575001	28875000
16	29040001	29160000
16	29265001	29685000
16	30130001	30370000
16	31885001	33530000
16	33540001	47630000
16	70135001	70315000
16	70815001	71235000
16	74335001	74515000
16	88340001	88460000
16	90125001	90354753
17	230001	470000
17	16585001	16765000
17	18215001	18635000
17	18640001	18760000
17	18875001	19175000
17	20170001	20530000
17	21480001	21720000
17	21885001	25665000
17	34410001	34890000
17	36175001	36475000
17	43535001	43715000
17	44250001	44850000
17	58040001	58160000
17	62390001	62510000
17	62785001	62965000
17	77430001	77670000
17	79690001	79810000
17	81090001	81195210
18	1	110000
18	14440001	14560000
18	14755001	18895000
18	52030001	52270000
18	72240001	72360000
18	75690001	75810000
18	77990001	78077248
19	1	330000
19	7290001	7410000
19	8640001	8760000
19	8785001	8965000
19	20490001	20610000
19	24155001	28295000
19	48390001	48510000
19	50540001	50660000
19	55180001	55420000
20	1	110000
20	25685001	25865000
20	25925001	29880000
20	34840001	34960000
20	61040001	61160000
20	61190001	61310000
20	62885001	63025520
21	1	16060000
21	42940001	43060000
21	44585001	44765000
22	1	18925000
22	20255001	20795000
22	21400001	22000000
22	24235001	24415000
22	50340001	50460000
22	51130001	51304566
